Moment Invariant Vectors: 625ms.
Boundary Detection: 0ms.
Extracting key frames	Color Histogram: 4671ms.
	Clustering: 0ms.
	Filtering: 176ms.

	Color Histogram: 374ms.
	Clustering: 0ms.
	Filtering: 31ms.

	Color Histogram: 379ms.
	Clustering: 0ms.
	Filtering: 79ms.

	Color Histogram: 367ms.
	Clustering: 0ms.
	Filtering: 63ms.

	Color Histogram: 369ms.
	Clustering: 0ms.
	Filtering: 32ms.

	Color Histogram: 1002ms.
	Clustering: 0ms.
	Filtering: 47ms.

	Color Histogram: 1283ms.
	Clustering: 0ms.
	Filtering: 94ms.

.	Color Histogram: 351ms.
	Clustering: 0ms.
	Filtering: 65ms.

	Color Histogram: 372ms.
	Clustering: 0ms.
	Filtering: 63ms.

	Color Histogram: 389ms.
	Clustering: 0ms.
	Filtering: 32ms.

	Color Histogram: 779ms.
	Clustering: 0ms.
	Filtering: 47ms.

	Color Histogram: 1351ms.
	Clustering: 0ms.
	Filtering: 31ms.

	Color Histogram: 1172ms.
	Clustering: 0ms.
	Filtering: 48ms.

	Color Histogram: 450ms.
	Clustering: 0ms.
	Filtering: 79ms.

	Color Histogram: 365ms.
	Clustering: 0ms.
	Filtering: 126ms.

	Color Histogram: 2352ms.
	Clustering: 0ms.
	Filtering: 70ms.

	Color Histogram: 382ms.
	Clustering: 0ms.
	Filtering: 31ms.

.	Color Histogram: 417ms.
	Clustering: 0ms.
	Filtering: 97ms.

	Color Histogram: 364ms.
	Clustering: 0ms.
	Filtering: 32ms.

	Color Histogram: 1166ms.
	Clustering: 0ms.
	Filtering: 79ms.

	Color Histogram: 1090ms.
	Clustering: 0ms.
	Filtering: 47ms.

	Color Histogram: 907ms.
	Clustering: 0ms.
	Filtering: 78ms.

	Color Histogram: 378ms.
	Clustering: 0ms.
	Filtering: 374ms.

	Color Histogram: 1377ms.
	Clustering: 0ms.
	Filtering: 445ms.

	Color Histogram: 414ms.
	Clustering: 0ms.
	Filtering: 47ms.

	Color Histogram: 2016ms.
	Clustering: 0ms.
	Filtering: 161ms.

.	Color Histogram: 3018ms.
	Clustering: 0ms.
	Filtering: 125ms.

	Color Histogram: 357ms.
	Clustering: 0ms.
	Filtering: 272ms.

	Color Histogram: 380ms.
	Clustering: 0ms.
	Filtering: 90ms.

	Color Histogram: 2002ms.
	Clustering: 0ms.
	Filtering: 89ms.

	Color Histogram: 1079ms.
	Clustering: 1ms.
	Filtering: 231ms.

	Color Histogram: 1153ms.
	Clustering: 0ms.
	Filtering: 95ms.

	Color Histogram: 2352ms.
	Clustering: 0ms.
	Filtering: 73ms.

.	Color Histogram: 708ms.
	Clustering: 0ms.
	Filtering: 78ms.

	Color Histogram: 2903ms.
	Clustering: 0ms.
	Filtering: 31ms.

	Color Histogram: 435ms.
	Clustering: 0ms.
	Filtering: 48ms.

	Color Histogram: 358ms.
	Clustering: 0ms.
	Filtering: 47ms.

	Color Histogram: 418ms.
	Clustering: 0ms.
	Filtering: 46ms.

.	Color Histogram: 1372ms.
	Clustering: 0ms.
	Filtering: 115ms.

OK
Key Frame Extraction: 44887ms.
